isin,per_isin_id,issuer_name,issuer_sector,bond_label,bond_amount,bond_currency,bond_USD_amount,total_USD_allocated,pre_icma_category,pre_category_as_reported,pre_subcategory,pre_subcategory_as_reported,pre_subcategory_description,pre_eligibility_criteria,pre_exclusions,post_icma_category,post_category_as_reported,post_subcategory,post_subcategory_as_reported,post_allocation_detail,eu_tax_category,post_allocation_value,post_allocation_currency,post_allocation_USD,post_allocation_share_of_total,pre_source_detail,post_source_detail,source_trail
US797661XR11,9,San Francisco Bay Area Rapid Transit (BART),Ground Transportation,Green,7405000,USD,7405000.0,7405000.0,Clean Transportation,Clean Transportation,Rail,Automated Train Control,Automated train control systems,Projects must meet CBI Low Carbon Land Transport Standard criteria,,,,,,,,,,,,https://source.arctal.ai/entities/san-francisco-bay-area-rapid-transit-bart/green-bond-framework__2021__bart-bonds-august-establishes-how-district-will-use__2021-08-18__ef013c85a1fb.pdf#page=5,,
US797661XR11,10,San Francisco Bay Area Rapid Transit (BART),Ground Transportation,Green,7405000,USD,7405000.0,7405000.0,Clean Transportation,Clean Transportation,Rail,Train Rehabilitation,Train rehabilitation projects,Projects must meet CBI Low Carbon Land Transport Standard criteria,,,,,,,,,,,,https://source.arctal.ai/entities/san-francisco-bay-area-rapid-transit-bart/green-bond-framework__2021__bart-bonds-august-establishes-how-district-will-use__2021-08-18__ef013c85a1fb.pdf#page=5,,
US797661XR11,11,San Francisco Bay Area Rapid Transit (BART),Ground Transportation,Green,7405000,USD,7405000.0,7405000.0,Climate Change Adaptation,Climate Change Adaptation,Resilient Infrastructure,Earthquake Resiliency Measures,Investment in resiliency measures to reduce the susceptibility of BART's assets to earthquakes,Projects must meet CBI Low Carbon Land Transport Standard criteria,,,,,,,,,,,,https://source.arctal.ai/entities/san-francisco-bay-area-rapid-transit-bart/green-bond-framework__2021__bart-bonds-august-establishes-how-district-will-use__2021-08-18__ef013c85a1fb.pdf#page=5,,
US797661XR11,12,San Francisco Bay Area Rapid Transit (BART),Ground Transportation,Green,7405000,USD,7405000.0,7405000.0,Energy Efficiency,Energy Efficiency,Energy Efficiency — Other,Energy Conservation Measures,Energy conservation measures for BART facilities and operations,Projects must meet CBI Low Carbon Land Transport Standard criteria,,,,,,,,,,,,https://source.arctal.ai/entities/san-francisco-bay-area-rapid-transit-bart/green-bond-framework__2021__bart-bonds-august-establishes-how-district-will-use__2021-08-18__ef013c85a1fb.pdf#page=5,,
US797661XR11,13,San Francisco Bay Area Rapid Transit (BART),Ground Transportation,Green,7405000,USD,7405000.0,7405000.0,,,,,,,,Energy Efficiency,Energy Efficiency,,,Renew power infrastructure and mechanical infrastructure; Power infrastructure and mechanical infrastructure renewal,,2921801.4285714286,USD,2921801.43,0.394571,,https://source.arctal.ai/entities/san-francisco-bay-area-rapid-transit-bart/alloc-report__2025__eighth-bart-independent-measure-rr-bond-oversight-committee__2025-06-XX__3b578a1209a8.pdf#page=16,"Allocation: 1,381,000,000.00 USD (denom=portfolio, entry=category) | BondShare: bond_amount 7,405,000 USD (→6,658,946 EUR @0.899250) / eligible_assets_total 3,500,000,000 EUR = bond_share 0.002120 | Scaled: 1,381,000,000.00 × bond_share 0.002120 = 2,927,720.00 | Pct: 39.5% | Capped: USD sum 7,420,000 > bond_USD_amount 7,405,000 (from DB), ×0.9980

Extraction notes:
Extracted from RR PROGRAM EXPENDITURES OVERVIEW table on page 16 and MEASURE RR SPENDING BREAKDOWN table on page 17.
Mapped 8 program lines to 3 ICMA categories: Clean Transportation (Renew Track $625M + Repair Tunnels $549M + Renew Stations $210M + Train Control $400M + Relieve Crowding $200M = $1,984M), Energy Efficiency (Renew Power Infrastructure $1,225M + Renew Mechanical $156M = $1,381M), and Access to Essential Services (Access Improvements $135M).
Used 'LONG-TERM (Through End of Bond)' column as the dedicated allocation amount, which represents the total bond investment planned for each category.
Total bond program: $3,500M. The $7.4M bond from context (US797661XR11, issued 2019-08-14) is one of four tranches totaling $2.06B; this table shows the full Measure RR program allocation.
Expended amounts and percentages shown in source table but not included in Phoenix allocation rows per granularity contract (category level).
Location is United States (San Francisco Bay Area - Alameda, Contra Costa, San Francisco counties).
Page shows two major program categories: Renew Track (131 miles of rail) and Renew Power Infrastructure (electrical substations/cables). Only Renew Track contains rail_added KPI. The 400 figure represents reduction in delay incidents, not direct beneficiaries, but is the closest proxy for rider benefit. No explicit ridership numbers found on this page. Year 2025 used from 'March 2025' references throughout page.

Additional sources: https://source.arctal.ai/entities/san-francisco-bay-area-rapid-transit-bart/alloc-report__2025__eighth-bart-independent-measure-rr-bond-oversight-committee__2025-06-XX__3b578a1209a8.pdf#page=17; https://source.arctal.ai/entities/san-francisco-bay-area-rapid-transit-bart/alloc-report__2025__eighth-bart-independent-measure-rr-bond-oversight-committee__2025-06-XX__3b578a1209a8.pdf#page=10"
US13032WAG96,1,California Housing Finance Agency,SSA,Social,2300000.0,USD,2300000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Affordable Housing,"Purchase and financing of affordable housing loans for low and moderate-income households, including multifamily acquisition, construction, and rehabilitation projects","Eligibility criteria include income thresholds and rent controls (≤30% of income, ≤HUD maximum rent)",,,,,,,,,,,,https://source.arctal.ai/entities/california-housing-finance-agency-calhfa/SPO__2021__sustainalytics-independent-evaluating-calhfa-social-bond__2021-08-19__3139bf2e1f85.pdf#page=8,,
CND10000JSF1,1,China Three Gorges,Independent Power and Renewable Electricity Producers,Sustainability,2000000000,CNY,302184187.3058467,,Renewable Energy,Renewable Energy,Biomass,Biomass Energy,Production and transmission of renewable energy from biomass energy sources,,,,,,,,,,,,,https://source.arctal.ai/entities/china-three-gorges-corporation/SPO__2017__ernst-young-independent-limited-assurance-verifying-china__2017-06-01__ebc6a9660bb1.pdf#page=2,,
CND10000JSF1,2,China Three Gorges,Independent Power and Renewable Electricity Producers,Sustainability,2000000000,CNY,302184187.3058467,,Renewable Energy,Renewable Energy,Hydropower,Hydropower,"Water reservoirs, dams, water tunnels, power plant buildings, generator units and other hydropower generation facilities construction and operation","Eligibility criteria: Must comply with 2014 Energy Work Guidelines and related regulations, and pass ecological environmental protection and resettlement plan assessments",,,,,,,,,,,,https://source.arctal.ai/entities/china-three-gorges-corporation/bond-prospectus__2017__offering-china-three-gorges-corporation-green-corporate__2017-XX-XX__c4acc0bd5e13.pdf#page=190,,
CND10000JSF1,3,China Three Gorges,Independent Power and Renewable Electricity Producers,Sustainability,2000000000,CNY,302184187.3058467,,Renewable Energy,Renewable Energy,Renewable Energy — Other,Renewable Energy Equipment Manufacturing,Manufacturing of renewable energy appliances and products,,,,,,,,,,,,,https://source.arctal.ai/entities/china-three-gorges-corporation/SPO__2017__ernst-young-independent-limited-assurance-verifying-china__2017-06-01__ebc6a9660bb1.pdf#page=2,,
CND10000JSF1,4,China Three Gorges,Independent Power and Renewable Electricity Producers,Sustainability,2000000000,CNY,302184187.3058467,,Renewable Energy,Renewable Energy,Solar,Solar Energy,Production and transmission of renewable energy from solar energy sources,,,,,,,,,,,,,https://source.arctal.ai/entities/china-three-gorges-corporation/SPO__2017__ernst-young-independent-limited-assurance-verifying-china__2017-06-01__ebc6a9660bb1.pdf#page=2,,
CND10000JSF1,5,China Three Gorges,Independent Power and Renewable Electricity Producers,Sustainability,2000000000,CNY,302184187.3058467,,Renewable Energy,Renewable Energy,Wind,Wind Energy,Production and transmission of renewable energy from wind energy sources,,,,,,,,,,,,,https://source.arctal.ai/entities/china-three-gorges-corporation/SPO__2017__ernst-young-independent-limited-assurance-verifying-china__2017-06-01__ebc6a9660bb1.pdf#page=2,,
US20775H2U68,1,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Police Homeownership Program,Provides interest rate 0.125% lower than regular Homebuyer Mortgage Program to help police officers purchase homes in participating communities,,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=23,,
US20775H2U68,2,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Disabled Persons Homeownership Program,Home of Your Own Program offering below-market interest rate loans to eligible borrowers with documented disability or family members with disability,,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=23,,
US20775H2U68,3,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Homeownership for Residents of Public Housing,Below-market interest rate loans to ease transition from renting to homeownership for qualified tenants of public housing and rental assistance programs,,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=23,,
US20775H2U68,4,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,FHA 203(k) Renovation Mortgage Program,"Below-market interest rate loans for first-time homebuyers covering costs of purchasing and making renovations, including abandoned or foreclosed properties",,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=23,,
US20775H2U68,5,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Conventional AMI Loan Program (CALP),"First mortgage loan financing for borrowers with household income greater than 80% of area median income, providing below-market interest rates and mortgage insurance savings",,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=23,,
US20775H2U68,6,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Downpayment Assistance Program (DAP) Loan,Second mortgage loan to finance down payment and closing costs for first-time homebuyers,,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775H2U68,7,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,HFA Advantage Loan Program,"Affordable lending product for borrowers at 80% or below area median income, offering below-market interest rates and mortgage insurance savings",,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775H2U68,8,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,HFA Preferred Loan Program,"Affordable lending product for borrowers at 80% or below area median income, offering below-market interest rates and mortgage insurance savings",,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775H2U68,9,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Military Homeownership,Program for current military members and veterans to purchase their first home with interest rate 0.125% lower than regular Homebuyer Mortgage Program,,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775H2U68,10,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Teachers Mortgage Assistance Program,"Program for teachers to become homeowners in communities where they work, with interest rate 0.125% lower than regular program, plus additional 0.125% benefit for minority teachers",,,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=22,,
US20775H2U68,11,Connecticut Housing Finance Authority,SSA,Social,1915000.0,USD,1915000.0,,Affordable Housing,Affordable Housing,Low-income Housing,First-Time Homebuyer Program,"30-year below-market fixed interest rate mortgages for first-time homebuyers with income and equity constraints, including additional rate discounts for homes in Targeted Areas","No allocation amounts are provided on this page - it describes program eligibility criteria and use of proceeds requirements; Key requirements: 95% of net proceeds must finance residences of borrowers without prior ownership interest in principal residence during preceding 3 years; All programs require purchase to be primary residence, with 60-day occupancy verification requirement",,,,,,,,,,,,https://source.arctal.ai/entities/connecticut-housing-finance-authority/green-bond-framework__2022__connecticut-housing-finance-authority-sustainability-dated__2022-02-16__11cb66f97809.pdf#page=20,,
US54466HJR84,1,Los Angeles Metropolitan Transportation Authority,Ground Transportation,Green,40005000.0,USD,40005000.0,,Clean Transportation,Clean Transportation,Public Transport,Electrified Light Rail Public Transport Systems,Development and construction of electrified light rail public transport systems meeting Climate Bonds Initiative Low Carbon Land Transport Eligibility Criteria (Criterion 3),All projects must meet Climate Bonds Initiative Low Carbon Land Transport Eligibility Criteria (Criterion 3) and Climate Bonds Standard v3.0,,,,,,,,,,,,https://source.arctal.ai/entities/los-angeles-county-mta/green-bond-framework__2020__lacmta-july-2-outlines-agency-approach-issuing-bonds__2020-07-02__8c5af2dcdd62.pdf#page=3,,
US54466HJR84,2,Los Angeles Metropolitan Transportation Authority,Ground Transportation,Green,40005000.0,USD,40005000.0,,Clean Transportation,Clean Transportation,Rail,Electrified Heavy Rail Public Transport Systems,Development and construction of electrified heavy rail public transport systems meeting Climate Bonds Initiative Low Carbon Land Transport Eligibility Criteria (Criterion 3),All projects must meet Climate Bonds Initiative Low Carbon Land Transport Eligibility Criteria (Criterion 3) and Climate Bonds Standard v3.0,,,,,,,,,,,,https://source.arctal.ai/entities/los-angeles-county-mta/green-bond-framework__2020__lacmta-july-2-outlines-agency-approach-issuing-bonds__2020-07-02__8c5af2dcdd62.pdf#page=3,,
US54466HJR84,3,Los Angeles Metropolitan Transportation Authority,Ground Transportation,Green,40005000.0,USD,40005000.0,,Clean Transportation,Clean Transportation,Rail,Electric Rail Vehicles,Purchase of electric rail vehicles meeting Climate Bonds Initiative Low Carbon Land Transport Eligibility Criteria (Criterion 3),All projects must meet Climate Bonds Initiative Low Carbon Land Transport Eligibility Criteria (Criterion 3) and Climate Bonds Standard v3.0,,,,,,,,,,,,https://source.arctal.ai/entities/los-angeles-county-mta/green-bond-framework__2020__lacmta-july-2-outlines-agency-approach-issuing-bonds__2020-07-02__8c5af2dcdd62.pdf#page=3,,
CND10006XHZ0,1,Beijing Origin Water Technology,Commercial Services & Supplies,Green,500000000,CNY,68614765.6,0.0,Sustainable Water and Wastewater Management,Pollution Prevention and Control,Wastewater Treatment,Water Pollution Prevention Equipment Manufacturing,"Water Pollution Prevention and Control Equipment Manufacturing - 先进环保装备制造 subcategory including: urban/rural sewage treatment equipment, industrial wastewater treatment/recycling equipment, surface/groundwater pollution remediation equipment, sponge city equipment, membrane separation devices (MF/UF/NF/RO)",,,,,,,,,,,,,https://source.arctal.ai/entities/beijing-origin-water-technology/SPO__2023__third-assessment-verification-china-bond-rating-co-LTD__2023-08-07__511de43d61db.pdf#page=2,,
CND10008R9V6,1,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,,,,,,,,Affordable Basic Infrastructure,Affordable Basic Infrastructure,,,,,112666666.67735566,CNY,15459921.23,0.333333,,https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=8,"Fallback: bond_total 800000000 CNY distributed across 3 categories | Capped: USD sum 109,774,589 > bond_USD_amount 46,379,764 (from DB), ×0.4225

Additional sources: https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=11"
CND10008R9V6,2,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Clean Transportation,Clean Transportation,Electric Vehicles,Clean Transportation,"Acquisition of electric vehicles, and the investment or expenditures on construction of supporting infrastructure (e.g. charging stations and hydrogen filling stations)",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=12,,
CND10008R9V6,3,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,,,,,,,,Clean Transportation,Clean Transportation,,,,,112666666.67735566,CNY,15459921.23,0.333333,,https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=8,"Fallback: bond_total 800000000 CNY distributed across 3 categories | Capped: USD sum 109,774,589 > bond_USD_amount 46,379,764 (from DB), ×0.4225

Additional sources: https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=11"
CND10008R9V6,4,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Energy Efficiency,Energy Efficiency,Building Energy Efficiency,Facility Upgrades,"Projects related to the upgrade of existing facilities, equipment, systems, and technology to achieve at least 30% improvement in energy efficiency",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=14,,
CND10008R9V6,5,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Energy Efficiency,Energy Efficiency,Building Energy Efficiency,Building And Plant Optimization,"Projects to optimize building and plants efficiency, such as HVAC systems renovation, insulation retrofitting, solar panels installation, heat recovery systems, motions detectors etc.",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=14,,
CND10008R9V6,6,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Energy Efficiency,Eco-efficient & Circular Economy Adapted Products Production Technologies & Processes,Energy Efficiency — Other,Energy Efficiency R&D,Research and development expenditures related to the deployment of energy efficient solutions and technology intended to improve energy efficiency,,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=14,,
CND10008R9V6,7,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Energy Efficiency,Renewable Energy,Energy Storage,Energy Storage,"Investment or expenditure on research, development, acquisition, manufacturing, construction, maintenance or upgrade of renewable energy storage facilities, equipment, or components",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=12,,
CND10008R9V6,8,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Energy Efficiency,Energy Efficiency,Smart Grids,Energy Consumption Reduction,"Projects to reduce energy consumption, including heating and cooling networks projects, LED lighting, systems for energy management such as smart grid and smart metering",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=14,,
CND10008R9V6,9,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Pollution Prevention and Control,Pollution Prevention and Control,Recycling,Waste Recovery,"Investment or expenditure on research, development, acquisition, manufacturing, construction, maintenance, or upgrade of facilities or equipment dedicated for waste recovery or other waste recycling activities",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=14,,
CND10008R9V6,10,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Renewable Energy,Eco-efficient & Circular Economy Adapted Products Production Technologies & Processes,Hydrogen,Low/No-Carbon Technologies,"Investments in the development of low- or no-carbon technologies such as CCUS, hydrogen etc.",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=14,,
CND10008R9V6,11,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Renewable Energy,Renewable Energy,Hydrogen,Green Hydrogen,"Research, development, acquisition, manufacturing, construction, maintenance and upgrade of facilities, equipment or components dedicated for producing hydrogen from electrolysis solely using renewable electricity",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=12,,
CND10008R9V6,12,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Renewable Energy,Renewable Energy,Hydropower,Hydropower,"Research, development, acquisition, manufacturing, construction, maintenance or upgrade of hydroelectricity facilities, equipment, or components",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=12,,
CND10008R9V6,13,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,,,,,,,,Renewable Energy,Renewable Energy,,,,,112666666.67735566,CNY,15459921.23,0.333333,,https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=8,"Fallback: bond_total 800000000 CNY distributed across 3 categories | Capped: USD sum 109,774,589 > bond_USD_amount 46,379,764 (from DB), ×0.4225

Additional sources: https://source.arctal.ai/entities/china-kangfu-international-leasing-co-ltd/alloc-report__2024__trustee-management-china-kangfu-international-leasing-co__2025-06-XX__7873ee5ab527.pdf#page=11"
CND10008R9V6,14,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Renewable Energy,Renewable Energy,Renewable Energy Transmission,Transmission and Distribution Infrastructure,"Investment or expenditure on the improvement of existing, or development/installation of new transmission projects that aim to connect renewable energy sources, support increased deployment of renewables on the grid, or reduce GHG emissions through installation of equipment that will improve system efficiency or energy use management",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=12,,
CND10008R9V6,15,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Renewable Energy,Renewable Energy,Solar,Solar Power,"Research, development, acquisition, manufacturing, construction, maintenance or upgrade of solar facilities, equipment or components (e.g. Photovoltaic plants, Floating photovoltaic, concentrated solar power)",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=12,,
CND10008R9V6,16,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Renewable Energy,Renewable Energy,Wind,Wind Power,"Research, development, acquisition, manufacturing, construction, maintenance or upgrade of wind facilities, equipment or components (e.g. Onshore and offshore projects including floating wind turbines)",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=12,,
CND10008R9V6,17,China Kangfu International Leasing,Financial Services,Green,338000000,CNY,46379763.7,46379763.69,Terrestrial & Aquatic Biodiversity Conservation,Environmentally Sustainable Management of Living Natural Resources & Land Use,Biodiversity Conservation,Biodiversity Conservation And Landscape Restoration,"Projects that promotes the restoration of sites such as terrestrial and aquatic biodiversity conservation, restoration of natural landscapes, decontamination of site grounds",,,,,,,,,,,,,https://source.arctal.ai/entities/state-power-investment-corporation-limited-spic/green-bond-framework__2024__spic-finance-detailing-company-use-proceeds-criteria__2024-XX-XX__cb00d9574b3d.pdf#page=14,,
NZHNZD0230L2,1,Housing New Zealand,Real Estate Management & Development,Sustainability,1150000000,NZD,722815839.09,144261470.78,Affordable Housing,Socioeconomic Advancement,Social Housing,Māori and Pasifika Owned Businesses,"Supporting Māori and Pasifika owned construction businesses to build affordable and social housing, including goods, services, training and capacity building",,,Affordable Housing,Affordable Housing,Social Housing,,"Social category expenditure under Affordable housing eligible category, including Public housing and Supported housing for those in need",,141713500.0,NZD,89071967.32,0.123229,https://source.arctal.ai/entities/kainga-ora-homes-and-communities/SPO__2022__sustainalytics-independent-assessing-kainga-ora-sustainable__2022-09-09__6da97302b5e0.pdf#page=5,https://source.arctal.ai/entities/kainga-ora-homes-and-communities/alloc-report__2023__kainga-ora-sustainable-finance-impact-2022-23-providing__unk-pub-date__645d74b974ef.pdf#page=13,"Allocation: 938,500,000.00 NZD (denom=portfolio, entry=category) | BondShare: bond_amount 1,150,000,000 NZD / eligible_assets_total 7,600,000,000 NZD = bond_share 0.151000 | Scaled: 938,500,000.00 × bond_share 0.151000 = 141,713,500.00 | FX: NZD→USD ×0.628536 @2022-06-22 = 89,071,967 USD | Pct: 12.3%

Extraction notes:
Page shows category-level allocation for FY2022/23. Sustainability (NZD 581.5M / 38%) mapped to Green Buildings; Social (NZD 938.5M / 62%) mapped to Affordable Housing. The Social category relates solely to Affordable housing eligible category per document. Amounts in $b: 0.58 and 0.94 are rounded; using precise values 0.5815 and 0.9385 from text. Total eligible capital expenditure is NZD 1.52 billion. Note: This is portfolio-level data (scope: per_portfolio), not specific to bond NZHNZD0230L2.
Page 12 shows portfolio-level summary only ($1.52B total proceeds). Category breakdown values (Sustainability $581.5M/38%, Social $938.5M/62%) are from page 13 as indicated in agent guidance. Sustainability mapped to ICMA 'Green Buildings', Social mapped to ICMA 'Affordable Housing'. Total $1,520M matches the $1.52B total proceeds available for allocation in FY2022/23.
Mapped 'Green buildings' to 'Green Buildings' entry with housing_units (808 Homestar certified homes). Mapped 'Affordable housing' to 'Affordable Housing' entry with beneficiaries (10,505 people housed) and housing_units (218 supported houses added). Mapped 'Socioeconomic advancement and empowerment' to 'Wellbeing Bond Programme' entry with jobs (123 apprenticeships). Mapped 'Pollution prevention and control' waste diversion tonnes to 'Wellbeing Bond Programme' entry with waste_treated (19,773 tonnes). Used 2023 as the reporting year from the 'Total 2023' column. Note: 'People housed' (10,505) mapped to beneficiaries; 'Supported houses added' (218) mapped to housing_units as additional housing units.

Additional sources: https://source.arctal.ai/entities/kainga-ora-homes-and-communities/alloc-report__2023__kainga-ora-sustainable-finance-impact-2022-23-providing__unk-pub-date__645d74b974ef.pdf#page=14"
NZHNZD0230L2,2,Housing New Zealand,Real Estate Management & Development,Sustainability,1150000000,NZD,722815839.09,144261470.78,Affordable Housing,Green Buildings,Social Housing,New Construction,New public housing projects obtaining minimum 6 Homestar rating,,,,,,,,,,,,,https://source.arctal.ai/entities/kainga-ora-homes-and-communities/SPO__2022__sustainalytics-independent-assessing-kainga-ora-sustainable__2022-09-09__6da97302b5e0.pdf#page=5,,
